#   age       Mc        Msh       logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    3.0000    0.5600    0.4757    1.5651    3.8649    8.0691    3.0337   11.4187    4.3130    0.2570    0.9232    0.0060   -0.4700    0.2300
    3.0000    0.6000    0.4757    1.6403    3.6964    8.0690    2.3143   11.7934    4.3143    0.2570    0.9224    0.0060   -0.4700    0.2300
    3.0000    0.6600    0.4758    1.6777    3.6734    8.0689    2.2262   11.8581    4.3149    0.2570    0.9227    0.0060   -0.4700    0.2300
    3.0000    0.7000    0.4757    1.6934    3.6672    8.0689    2.2114   11.8783    4.3154    0.2570    0.9229    0.0060   -0.4700    0.2300
    3.0000    0.7800    0.4761    1.7171    3.6617    8.0688    2.2128   11.9012    4.3158    0.2570    0.9229    0.0060   -0.4700    0.2300
    3.0000    0.9000    0.4763    1.7432    3.6594    8.0687    2.2394   11.9189    4.3163    0.2570    0.9229    0.0060   -0.4700    0.2300
    3.0000    0.4710    0.4689    1.0903    4.4107    8.0643    5.6163   10.0898    4.3532    0.2880    0.9207    0.0169    0.0000    0.0000
    3.0000    0.4730    0.4699    1.0957    4.3825    8.0645    5.4998   10.1490    4.3509    0.2880    0.9207    0.0169    0.0000    0.0000
    3.0000    0.4750    0.4700    1.1010    4.3611    8.0648    5.4109   10.1943    4.3489    0.2880    0.9201    0.0169    0.0000    0.0000
    3.0000    0.4800    0.4691    1.1110    4.3206    8.0656    5.2433   10.2804    4.3442    0.2880    0.9194    0.0169    0.0000    0.0000
    3.0000    0.4850    0.4690    1.1238    4.2877    8.0657    5.1037   10.3525    4.3401    0.2880    0.9188    0.0169    0.0000    0.0000
    3.0000    0.4900    0.4689    1.1374    4.2600    8.0663    4.9836   10.4148    4.3365    0.2880    0.9177    0.0169    0.0000    0.0000
    3.0000    0.4950    0.4690    1.1525    4.2339    8.0665    4.8687   10.4744    4.3334    0.2880    0.9175    0.0169    0.0000    0.0000
    3.0000    0.5000    0.4690    1.1753    4.2090    8.0669    4.7506   10.5356    4.3307    0.2880    0.9171    0.0169    0.0000    0.0000
    3.0000    0.5100    0.4689    1.2576    4.1515    8.0673    4.4472   10.6916    4.3274    0.2880    0.9170    0.0169    0.0000    0.0000
