#   age       Mtot      Mc        Menv      Mini      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
   10.0000    0.6872    0.4690    0.2182    0.8872    2.8230    3.5147    8.0854    0.4636   12.7481    5.9060    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5881    0.4690    0.1191    0.8881    2.5508    3.5515    8.1035    0.8153   12.5384    5.7522    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6881    0.4690    0.2191    0.8881    2.8280    3.5141    8.0849    0.4568   12.7518    5.9085    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5891    0.4690    0.1201    0.8891    2.5588    3.5504    8.1028    0.8038   12.5445    5.7568    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6891    0.4690    0.2201    0.8891    2.8331    3.5135    8.0844    0.4499   12.7556    5.9110    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5901    0.4690    0.1211    0.8901    2.5668    3.5494    8.1021    0.7923   12.5506    5.7614    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6901    0.4690    0.2211    0.8901    2.8382    3.5129    8.0839    0.4430   12.7593    5.9135    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5910    0.4690    0.1220    0.8910    2.5747    3.5483    8.1014    0.7808   12.5567    5.7660    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6911    0.4690    0.2221    0.8911    2.8433    3.5123    8.0834    0.4361   12.7631    5.9161    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5920    0.4690    0.1230    0.8920    2.5827    3.5473    8.1007    0.7693   12.5628    5.7706    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6921    0.4690    0.2231    0.8921    2.8484    3.5117    8.0829    0.4293   12.7668    5.9186    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5930    0.4690    0.1240    0.8930    2.5906    3.5462    8.1000    0.7579   12.5690    5.7752    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6930    0.4690    0.2240    0.8930    2.8535    3.5111    8.0823    0.4224   12.7706    5.9211    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5940    0.4690    0.1250    0.8940    2.5986    3.5451    8.0993    0.7464   12.5751    5.7797    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6940    0.4690    0.2250    0.8940    2.8586    3.5105    8.0818    0.4155   12.7743    5.9236    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5950    0.4690    0.1260    0.8950    2.6066    3.5441    8.0986    0.7349   12.5812    5.7843    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6950    0.4690    0.2260    0.8950    2.8637    3.5099    8.0813    0.4086   12.7781    5.9261    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5959    0.4690    0.1269    0.8959    2.6145    3.5430    8.0979    0.7234   12.5873    5.7889    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6960    0.4690    0.2270    0.8960    2.8688    3.5093    8.0808    0.4017   12.7818    5.9287    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5969    0.4690    0.1279    0.8969    2.6225    3.5420    8.0972    0.7119   12.5934    5.7935    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6970    0.4690    0.2280    0.8970    2.8739    3.5087    8.0803    0.3949   12.7856    5.9312    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5979    0.4690    0.1289    0.8979    2.6304    3.5409    8.0965    0.7004   12.5995    5.7981    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6980    0.4690    0.2290    0.8980    2.8790    3.5081    8.0798    0.3880   12.7893    5.9337    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5989    0.4690    0.1299    0.8989    2.6384    3.5398    8.0958    0.6889   12.6056    5.8027    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6989    0.4690    0.2299    0.8989    2.8841    3.5075    8.0793    0.3811   12.7931    5.9362    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5999    0.4690    0.1309    0.8999    2.6464    3.5388    8.0951    0.6774   12.6117    5.8073    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6999    0.4690    0.2309    0.8999    2.8892    3.5069    8.0787    0.3742   12.7968    5.9387    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6009    0.4690    0.1319    0.9009    2.6543    3.5377    8.0944    0.6659   12.6178    5.8118    0.2880    0.0000    0.0169    0.0000    0.0000
